text,label
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative
 ooohhh imma need you to get on that asap love you,positive
" Thanks! I love it they have a video, so you don`t need to download if they don`t offer everything you want  Will try!",positive
I left my ipod in the car so now its all warm.,positive
Great app. Only complaint is that I'd like the AMOLED dark mode in the app to match the widget.,positive
Sooo readyyy for the summerr babyyyy!!!!!!!!!,positive
 me too  Thats why im driving down to Cali in July for HIN Pleasanton.,neutral
" I`m in an 8 now too, but b4 I had kids I was a 6.5! Darn babies making my feet grow",neutral
 yeah I was like oh oh oh yeah that`s it but then she said no  lol bummer,neutral
"ya know why today sucks? its been raining, we have no $, & no possibility of a magic friday.  so whats goin down tonight?",negative
Sitting in traffic while my car gets rained on. Just washed it on Sunday. Doesn`t the weather know this is California?,negative
"there are ads even though there wasnt any label of ""contains ads"" in this app description",neutral
"Fam this app is fire, no cost ease of use and fun to track progress!!!",positive
I just saw a load of ambulances & police cars & a car smashed up with a roof lying in the road.  :'(  that`s 1 man dead 4 sure.    .,negative
is going to shul,neutral
 hahahahahahahahahahahahaha  that could be interesting,positive
"if you don't stop to force ads clip watching, bye bye.",negative
so bored...,negative
"what the hell am i doing awake this early,",negative
App crashing a lot. Do look into it and solve the problem asap.,neutral
"Are you kidding me. I down load a ""Planner/Callander app. I go set it all up and link it and try to see the month so I know it's all right my It says I have to upgrade and pay for a month calender View. Ok... Annoying but I try 1 week. Same thing. Gotta pay. Calandar app with only 2 views for oveall use. Please don't say it's a free app or at least explain, can see all these cool features, I'll even let you go through and set up but you have to pay for all the feature",negative
 Haha! At the Somerset theatre in Ottawa. I remember that well. The more things change the more they stay the same,positive
off to the family party,neutral
Actual wiki entry 'The Million Dollar Homepage' made me just shake my head due to the fact that ... sometimes...somtimes things just work,negative
I got 5 in English lesson  now drinking sprite,neutral
where r all the 5am tweets from  people...oh that`s right...they opened the #houseofrock last night so they`re still in bed,neutral
 I totally did go! and he was AMAZING. He`s is the reason I bought the tix. He only did 3 songs. But Blood Bank was 1.,positive
"I like that it allows specific habits, I don't like that it does not give proper percentages of how much you've done your habits. after using it about a month i deleted it, because even though i was doing almost every habit 100%, it kept giving me <50%. it was demoralizing.",negative
unemployment line here i come.,negative
watching saturday night live; justin timberlake hosts,neutral
_Doll Yes! I live in Milwaukee and would love to attend a closing talk,positive
The Barry Gibb Talk show!!!!!,neutral
 Im soooo intrigued! I want to try this weekend. Kaya lang baka maaddict ako.,positive
"i know i have lots of comments to return but i have been really busy  i`ll get round to it guys, sorry",negative
 Hey I saw SNL 2nite&I loved it!! especially the crumpin` ****-**** scene  'crumpin`34 dub' wow hilarious,positive
"Its so sunny outside, and I have no one to go out and play with",neutral
The reminders aren't partixularly noticeable.,neutral
"So it was good until yesterday .. Whenever I tap on the store it keeps refreshing and never opens, I can't unlock any tree or even check them out. I sent a picture . Thank you for the quick response.",negative
"LaLaLand... why am i liking that song so much?! Anyhoo.... grr I have a cold, but thank goodness though the sore throat has gone!!",positive
says np- Because of You -- Ne-Yo  (music) http://plurk.com/p/svm3r,neutral
Left Cali this morning...in Dallas now..missing my car SO MUCH!!!,negative
گزینه آندو ش میپره,negative
No help to be had. No tutorials available. After 3 days I could not even find out how to delete notes. Perhaps I am just stupid. Perhaps it doesn't work with my phone. Uninstalled and we'll try something else to work with my Google assistant.,negative
Happy Star Wars Day! May the Fourth be with you.,positive
hates the sound of silence..doesnt like being shut out..,negative
" Enjoy your day too! Prob see u up top of Glyders. No pint for me, gotta drive straight back as we`ve got Dog stuff to do Sunday",positive
"Offers much more flexibility and I'm enjoying the new updates. The one thing I would like (for 5 star rating) is the ability to strike-through appointments that are cancelled, which was possible in the Palm Pilot and similar to the ""completed"" tasks that once you have ticked them off it will strike-through the item.",positive
my iMac`s died  keeps cutting out for no reason. Anyone recommend a good mac place for service / parts? Think I need a new power supply,negative
Just saw G.O.D perform I love you I thank you by MC Mong.,positive
"Does not integrate month calendar view and 24hrs view within the circular widget graphics: it only shows 24hrs (12hrs in free version). Very restrictive: the widget shows full info for one day, and no info ahead, unless you select a different day. For the days ahead you need to leave the widget, and work in a different environment. Why complicate your life? Find a calendar app you like, stay with it, come back to Sectograph when (and if) the widget fully implements time and task management.",negative
Finally something that lets me feel like I'm using a paper planner but I don't accidentally leave it at home!,positive
 You and your Yuotube links.  DENIED at work.,negative
Good features and easy to use. I hope I can see my tasks and events at the lock screen. Thanks.,positive
"Nice app! But almost everything from the menu needs a premium verson to use it. At least keep the friends section as a free section, so people will get other people involved in this.",positive
Partied long and hard...goodnight Twitter see ya in the mornin,positive
"I like the app but I'm not getting notifications of reminders. Have checked all the settings, might be that my phone's too old to be fully compatible",neutral
lovely night of steve-o and family guy. off to bed.,positive
finally home  crazy party 2nite! thanks  4 driving me home!,positive
"also, Lipton`s Sparkling Green Tea is gross",neutral
The trains turned into a microwave,neutral
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive
My eyes hurt,negative
" Yes, and I really hoped to do one last gas price story... but I guess it wasn`t meant to be!!!",neutral
nooooo its raining......had 2 leave the beach,negative
 You have to come to Chile... with AC/DC would be fine,neutral
Nice app ..want toThank bro who created this.,neutral
#flylady Oh deary me: 15 mins not enough to rescue kitchen  I shall come back to it later so I can mow the lawn while still cool outside,neutral
 no  are you for sure going?,neutral
" Thank you, I will have a look",positive
Very usefull app for divideing tasks,positive
 I will bring you cases of mountain dew if you give @_Slamma_ 2 tixs to see taylor swift!,neutral
HAPPY MOTHER`S DAY!,positive
Im a bad blogger!! I have not blogged in weeks~ oops!,negative
Skipping school like all the cool kids do,positive
May the 4th be with you all,positive
" the new series of the hills was on yesterday in uk , it was amazing! you looked really pretty on your birthday too.",positive
Not available offline. Tsk.,neutral
wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8,negative
 I didnt get his  tweet,neutral
Sweat is just not cute.  Unfortunately I haven`t figured out how to work out without sweating. BOO.,negative
_Milano Good Morning Alyssa!! Hope u have a great wonderful day today   im happy cuz today is my last day of classes!! Yay!!,positive
 Nice! You should submit that to failblog.org,positive
 If I got paid by the hour I could retire by now  do you have xBox live? I am thinking Rock Band,neutral
soo tired.. still kinda angry that i missed the concert,negative
 glad to know that the ad display problem was due to a firewall config at yr office. phew!,positive
So I thought the Cavs would crush the Magic and I come home from up north to realize how wrong I was.,negative
"A really great idea with a lot of great features! I love it a lot. However, it's a bit unresponsive at times. Actions that previously worked will occasionally not go through for mystery reasons . And the widgets, while displaying correctly, have bad interactivity. Thats said, the art is cute, the features are helpful and extensive, and the positive impact it has on my habits is amazing",positive
 eat (cup)cake,neutral
jessie has gone away 4 the weekend!! I miss her already,negative
oh and i forgot my cell at home  thankgod for this crackberry,neutral
 tehe. It was on the 9th,neutral
is starting to get this whole Twitter thing!,neutral
"The app is good.. But we can overide this by changing the system time manually to future.. Ideally after turning on the time the app shouldn't hv allowed to change the screen, even to home screen or settings screen.. Then this could have been perfect. But android system may not allow to do so..",positive
"It is not very flexible. It's a pain to make sub lists and quickly edit them. I wish when the app opened you see a list of all of your major tasks or a calendar. If these things are possible, maybe adding a tutorial feature when the app first downloads and opens would help streamline the experience.",negative
"the play`s over, it was really good",positive
About to get crazy,neutral
 hey you ****!! that`s kinda mean dont yu think?!,negative
i got over the crush issue but now tomorrow my friend is going to india for the whole summer  im back to being sad.,negative
 Yay for full-term!!,positive
_Aston Still looking  I filled out quite a few applications last week and once I get home I`ll continue.,neutral
I`ve lost my pocket knife  Suggestions for replacing a Ken Onion Chive?,neutral
Babysitting in the sun and heat. I`m getting lots of freckles,negative
conflict Strack,neutral
and it is raining in Denver. of COURSE it is,neutral
Welcome new followers also,neutral
 Weird! Maybe all the updates just aren`t being sent to my phone  Haha,negative
