text,label
"UI is nice, but task lists are useless to me unless they let you set a start date. I thought that since this was Microsoft's task list app, it would have similar features to the tasks in Outlook.",0
"Pretty amazing weekend so far  but its bedtime ,, I`m exhausted ! Mothers day tomorrow  nighty night",1
_lord Can`t we just all get along?,0
Hi x Your websites soo cool i love using it  Thank you,2
My wand? It`s a black hawthorn wand with a core of kraken heartstrings.  You?,1
"It has a lot of functionality bugs. Some of my events were not adding, after restaring the app, other events just disappeared etc. I m really sorry i had to delete it because it looked nice and could be very useful but it s not working. Thanks!",0
i blame you all!  got it??? good :p she better be in good condition 2! <33 night,1
awesome..am headin there that nite after my grad dinner  c u then boi! hehe,2
_fann coming up! Sowwy!,0
"Missing basics Clearing the completed tasks is like erasing history. Instead of having the completed task stack up and encumber the whiteboard, each one of thr completed tasks should appear on the calendar (as completed or as initiated on /completed on, in Gantt chart format) This is really basic guys",1
..people you love.... wait i am not there,2
I`m off for tonight good night everyone,2
http://twitpic.com/4ja12 - we were bored,0
Looks like the #GM Bankruptcy is going to happen. This loss will help offset the gains that I had earlier in the year tax wise. Oh well,0
poor kid.  That sucks. Hopefully things look up for her soon. *hugs*,1
My boss called me anerexic,0
Did it!!  back in pakistan! - http://bkite.com/07kBP,1
"wow 41,000 now....your really kickin` Carey`s butt with this competition! See you both very soon!",2
It is good but not for me,1
This app will not update nor uninstall properly. Fix it and I'll try it again.,0
"I think that`s pretty awesome. I could quote LOTR:ROTK for one summer, but now I can`t anymore.",2
I can't synchronized to my calendar.,0
"Jungle Book, Mary Poppins, or Bugs Life - depending on if you want cartoon, live action or cgi",1
"So-so, thanks  I`ve uploaded a new campaign vid, will post the link in a few mins. how are you doing, babe??",1
Gourmet pizza = BLEH. Pizza is SUPPOSED to be greasy and filthy. You can`t eat pizza that`s been prepared by a chef.,0
"i need sweets, drank my cyderrrrrrrrr",1
that would be great!!!  thanks!!,2
LOL! Girl that video disturbed me  and I love the hk theme too cute!,1
got a new dog,1
Thanks  for shoutin out my mom today  She also says thanks!,2
bored...disgusting weather..bored..sooo bored for my last weekend here,0
"yeah, I have revision to do, but gonna go starbucks instead",1
I got overexcited about pizza and burned my mouth.,0
"Good mornin. Today will end early, woo. Gonna work on rick`s surprise PROJECT DUE ON TUESDAY",2
"The app itself is a great concept and it works wonderfully. But the fact that you have to pay actual money to help plant real trees is what made me uninstall it altogether. This just adds to the idea that helping the earth isn't accessible to everyone, which it needs to be. End of discussion. Overall the app is a great concept if you just want to plant fake trees yo help you focus.",1
Good interface and design. But the sharing capabilities were riddled with issues. The app became almost unusable if you tried to share anything,1
Cleaning my room..,1
is having headache and colds...,0
Had fun early night Vegas because Pool tomorrow,2
"...celebrated by spilling half my soup. Hello, 40 calorie lunch.    Can it be the weekend now, please?",1
"_Jamie How are ya, honey? What happend to  account  ?",1
Why is  scared or  lmao.. Someone pls tell me!!,0
Morning! Are u back in blighty Bill? Hope u had a lovely time away,2
happy mommy day!!,2
"Just funny sitting here with external keyboard, mouse, and macbook on bed  just looks strange but it`s comfortable",2
awesome! What a blessing,2
"Ok good to know, thanks! It still won't show all of my calendar items on the clock. I'll put some on and it will take them off as I add more.",0
"right my fellow fluffy flasher! I must go to bed, sorry  I hope everything is working properly 2moro and we can chat! love u x",1
am alive   but at work   finish at 1300   sun is out,1
"Do you love apps that design their experience to be poor unless you pay ongoing ""subscriptions"" for static feature sets that make the experience barely tolerable? Do you prefer having money siphoned from your account over and over again instead of paying a single small fee once for an app, like we used to see? Then this is the app for you! Add one more debit to your bank account they hope you'll forget about (and statistically speaking - you will) for a stagnant app you'll forget about in a week",0
i hope you knew its due tuesday,2
such a fun night with Bekah just talkin and stuff. Wuv her,2
Just discovered your `Band from TV`... you guys are really good! Love the music,2
No notification of Habit tracks,0
why?!!?,1
Working up to my vacation to Thailand. Getting more excited every day,2
Made a seamless connection to Toro Toro Quebec Two.,1
